Fee schedule to reach each tier from $0:,,,,,,,
Level,Volume Requirement ($),Iterations Needed,Total Trade Volume ($),Total Maker Fees ($),Total Taker Fees ($),,
Intro 1, $-   ,0, $-   , $-   , $-   ,,
Intro 2," $1,000.00 ",50," $1,000.00 ", $3.50 , $7.50 ,,
Advanced 1," $10,000.00 ",500," $10,000.00 ", $26.00 , $43.50 ,,
Advanced 2," $50,000.00 ",2500," $50,000.00 ", $86.00 , $143.50 ,,
Advanced 3," $500,000.00 ",25000," $500,000.00 ", $536.00 ," $1,043.50 ",,
Advanced 4," $1,000,000.00 ",50000," $1,000,000.00 ", $886.00 ," $1,843.50 ",,
Advanced 5," $15,000,000.00 ",750000," $15,000,000.00 "," $7,886.00 "," $21,443.50 ",,
Advanced 6," $50,000,000.00 ",2500000," $50,000,000.00 "," $14,886.00 "," $56,443.50 ",,
Advanced 7," $100,000,000.00 ",5000000," $100,000,000.00 "," $14,886.00 "," $96,443.50 ",,
Advanced 8," $250,000,000.00 ",12500000," $250,000,000.00 "," $14,886.00 "," $171,443.50 ",,
,,,,,,,
Fee schedule to maintain monthly level:,,,,,,,
Level,Volume Requirement ($),Iterations Needed to Maintain,Total Trade Volume ($),Maker Fees ($),Taker Fees ($),,
Intro 1, $-   ,0, $-   , $-   , $-   ,,
Intro 2," $1,000.00 ",50," $1,000.00 ", $3.50 , $7.50 ,,
Advanced 1," $10,000.00 ",500," $10,000.00 ", $25.00 , $40.00 ,,
Advanced 2," $50,000.00 ",2500," $50,000.00 ", $75.00 , $125.00 ,,
Advanced 3," $500,000.00 ",25000," $500,000.00 ", $500.00 ," $1,000.00 ",,
Advanced 4," $1,000,000.00 ",50000," $1,000,000.00 ", $700.00 ," $1,600.00 ",,
Advanced 5," $15,000,000.00 ",750000," $15,000,000.00 "," $7,500.00 "," $21,000.00 ",,
Advanced 6," $50,000,000.00 ",2500000," $50,000,000.00 "," $10,000.00 "," $50,000.00 ",,
Advanced 7," $100,000,000.00 ",5000000," $100,000,000.00 ", $-   ," $80,000.00 ",,
Advanced 8," $250,000,000.00 ",12500000," $250,000,000.00 ", $-   ," $125,000.00 ",,
,,,,,,,
At what monthly trade volume does it make sense to inflate:,,,,,,,
Level,Volume Requirement ($),Total Maker Fees ($),Total Taker Fees ($),Maker Fee at Level,Taker Fee at Level,Breakeven Volume (Maker),Breakeven Volume (Taker)
Intro 1, $-   , $-   , $-   ,0.006,0.012,,
Intro 2," $1,000.00 ", $3.50 , $7.50 ,0.0035,0.0075," $1,400.00 "," $1,666.67 "
Advanced 1," $10,000.00 ", $26.00 , $43.50 ,0.0025,0.004," $7,428.57 "," $5,437.50 "
Advanced 2," $50,000.00 ", $86.00 , $143.50 ,0.0015,0.0025," $19,111.11 "," $15,105.26 "
Advanced 3," $500,000.00 ", $536.00 ," $1,043.50 ",0.001,0.002," $107,200.00 "," $104,350.00 "
Advanced 4," $1,000,000.00 ", $886.00 ," $1,843.50 ",0.0007,0.0016," $167,169.81 "," $177,259.62 "
Advanced 5," $15,000,000.00 "," $7,886.00 "," $21,443.50 ",0.0005,0.0014," $1,433,818.18 "," $2,022,971.70 "
Advanced 6," $50,000,000.00 "," $14,886.00 "," $56,443.50 ",0.0002,0.001," $2,566,551.72 "," $5,131,227.27 "
Advanced 7," $100,000,000.00 "," $14,886.00 "," $96,443.50 ",0,0.0008," $2,481,000.00 "," $8,611,026.79 "
Advanced 8," $250,000,000.00 "," $14,886.00 "," $171,443.50 ",0,0.0005," $2,481,000.00 "," $14,908,130.43 "
